description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent;polygon_original
Brustamulett umbinden;8;47;184;362,141,374,152;2;Chassinat/8_047.jpg;180;269.77;715;34.17;7.17;3.06;
Myrrhe darbringen;8;135;202;375,141,449,152;2;Chassinat/8_135.jpg;180;322.32;715;34.17;44.19;3.06;
Weihrauch räuchern;8;139;201;419,154,462,214;2;Chassinat/8_139.jpg;180;356.36;715;55;25.68;16.67;
Schwert darreichen;8;143;201;414,215,436,251;2;Chassinat/8_143.jpg;180;337.85;715;82.22;13.14;10;
Sistrum spielen;8;142;201;438,216,475,251;2;Chassinat/8_142.jpg;180;375.47;715;82.5;22.09;9.72;
Myrrhe darreichen;8;140;201;371,154,416,213;2;Chassinat/8_140.jpg;180;300.23;715;54.72;26.87;16.39;375,154,376,155,416,155,416,213,371,213,371,197,380,197,379,191,374,184,376,184,376,165
Seth töten;8;143;201;364,215,411,249;2;Chassinat/8_143.jpg;180;293.06;715;81.67;28.07;9.44;364,215,365,216,411,216,411,249,371,249
Doppelfederkrone darreichen;8;141;201;477,216,504,249;2;Chassinat/8_141.jpg;180;416.07;715;81.94;16.12;9.17;477,216,478,217,511,217,503,249,477,249
Obelisk aufrichten;8;138;201;463,154,504,213;2;Chassinat/8_138.jpg;180;407.71;715;54.72;24.48;16.39;464,154,465,155,526,155,512,213,463,213
Pylon bauen;8;134;201;464,104,504,151;2;Chassinat/8_134.jpg;180;408.31;715;23.61;23.89;13.06;464,104,465,105,537,105,527,151,464,151
Opfer reinigen;8;149;203;484,96,495,102;2;Chassinat/8_149.jpg;180;414.88;715;7.78;6.57;1.67;
Ritualhandlung ?;8;149;197;483,467,496,472;2;Chassinat/8_149.jpg;0;414.88;775;8.61;7.76;1.39;
;;;;268,588,304,603;0;;270;229.26;727.82;10.42;6.53;7.29;
;;;;391,588,427,603;0;;90;257.74;727.82;9.38;6.53;7.29;
;;;;227,511,267,517;0;;270;229.26;744.5;95.31;9.67;2.6;
;;;;227,518,267,525;0;;270;229.26;744.5;87.5;9.67;3.13;
;;;;227,526,267,538;0;;270;229.26;744.5;76.56;9.67;5.73;
;;;;227,539,267,545;0;;270;229.26;744.5;66.15;9.67;2.6;
;;;;227,546,267,553;0;;270;229.26;744.5;58.33;9.67;3.13;
;;;;227,554,267,565;0;;270;229.26;744.5;47.92;9.67;5.21;
;;;;227,566,267,571;0;;270;229.26;744.5;38.54;9.67;2.08;
;;;;227,572,267,578;0;;270;229.26;744.5;31.77;9.67;2.6;
;;;;227,579,267,587;0;;270;229.26;744.5;23.44;9.67;3.65;
;;;;227,588,267,603;0;;270;229.26;744.5;10.42;9.67;7.29;
;;;;428,588,468,603;0;;90;257.74;744.5;9.38;9.67;7.29;
;;;;428,579,468,587;0;;90;257.74;744.5;22.4;9.67;3.65;
;;;;428,572,468,578;0;;90;257.74;744.5;30.73;9.67;2.6;
;;;;428,566,468,571;0;;90;257.74;744.5;37.5;9.67;2.08;
;;;;428,554,468,565;0;;90;257.74;744.5;46.88;9.67;5.21;
;;;;428,546,468,553;0;;90;257.74;744.5;57.29;9.67;3.13;
;;;;428,539,468,545;0;;90;257.74;744.5;65.1;9.67;2.6;
;;;;428,526,468,538;0;;90;257.74;744.5;75.52;9.67;5.73;
;;;;428,518,468,525;0;;90;257.74;744.5;86.46;9.67;3.13;
;;;;428,511,468,517;0;;90;257.74;744.5;94.27;9.67;2.6;
;;;;190,588,226,603;0;;270;229.26;761.18;10.42;6.53;7.29;
;;;;469,588,505,603;0;;90;257.74;761.18;9.38;6.53;7.29;
;;;;185,87,193,103;0;;180;56;715;5.56;4.78;4.44;
;;;;207,87,227,103;0;;180;89.44;715;5.56;11.94;4.44;
;;;;463,87,482,103;0;;180;394.57;715;5.56;11.35;4.44;
;;;;496,87,505,103;0;;180;428.01;715;5.56;5.37;4.44;
;;;;195,97,205,103;0;;180;69.14;715;8.33;5.97;1.67;
;;;;229,140,231,153;0;;180;104.96;715;34.17;1.19;3.61;
;;;;233,140,236,148;0;;180;110.34;715;32.78;1.79;2.22;
;;;;238,140,240,153;0;;180;115.71;715;34.17;1.19;3.61;
;;;;450,140,452,153;0;;180;368.9;715;34.17;1.19;3.61;
;;;;454,140,457,148;0;;180;374.27;715;32.78;1.79;2.22;
;;;;459,140,461,153;0;;180;379.65;715;34.17;1.19;3.61;
;;;;361,154,373,167;0;;180;268.58;715;41.94;7.17;3.61;
;;;;317,183,372,195;0;;180;241.71;715;57.78;32.84;3.33;
;;;;321,196,327,214;0;;180;217.23;715;66.67;3.58;5;
;;;;363,196,369,214;0;;180;267.39;715;66.67;3.58;5;
;;;;187,252,316,264;0;;180;130.64;715;96.11;77.03;3.33;
;;;;374,252,503,264;0;;180;353.97;715;96.11;77.03;3.33;
;;;;20,262,36,309;0;;90;56;745.75;6.4;35.25;4.65;
;;;;655,263,671,307;0;;270;431;745;6.43;33;4.68;
;;;;177,265,187,306;0;;90;56;745.75;95.93;30.75;2.91;
;;;;504,266,514,304;0;;270;431;745;96.49;28.5;2.92;
;;;;189,306,314,319;0;;0;130.64;775;95.83;74.64;3.61;
;;;;377,306,501,318;0;;0;354.57;775;96.11;74.04;3.33;
;;;;308,356,324,378;0;;0;207.67;775;65.56;9.55;6.11;
;;;;370,356,387,378;0;;0;282.31;775;65.56;10.15;6.11;
;;;;317,379,379,383;0;;0;245.89;775;57.78;37.02;1.11;
;;;;320,384,377,389;0;;0;246.49;775;54.72;34.04;1.39;
;;;;185,467,193,483;0;;0;56;775;5.56;4.78;4.44;
;;;;195,467,205,473;0;;0;69.14;775;8.33;5.97;1.67;
;;;;207,467,318,483;0;;0;143.78;775;5.56;66.28;4.44;
;;;;378,467,482,483;0;;0;343.82;775;5.56;62.1;4.44;
;;;;496,467,505,483;0;;0;428.01;775;5.56;5.37;4.44;
;;;;320,472,333,483;0;;0;220.21;775;4.17;7.76;3.06;
;;;;363,472,376,483;0;;0;271.57;775;4.17;7.76;3.06;
;;;;321,264,331,305;0;;270;203.48;745.5;85;29.5;15;
;;;;359,264,369,305;0;;90;283.52;745.5;85;29.5;15;
