description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Die beiden Uräusschlangen darbringen;7;196;;404,1102,422,1132;Chassinat/7_196.jpg;270;371;563.67;32.05;8.72;11.54
Kleiderkästen herbeiziehen;7;302;;362,1135,380,1155;Chassinat/7_302.jpg;270;371;579.94;85.9;5.81;11.54
???;7;159;;383,1135,401,1155;Chassinat/7_159.jpg;270;371;579.94;58.97;5.81;11.54
Maat darreichen;7;194;;404,1135,422,1155;Chassinat/7_194.jpg;270;371;579.94;32.05;5.81;11.54
Amulett des Käfers, Der-das-Werden-liebt, darbringen;7;301;;362,1158,380,1179;Chassinat/7_301.jpg;270;371;593.6;85.9;6.1;11.54
Papyrus darbringen;7;158;;383,1158,401,1179;Chassinat/7_158.jpg;270;371;593.6;58.97;6.1;11.54
Den Gott preisen, viermal;7;193;;404,1158,422,1179;Chassinat/7_193.jpg;270;371;593.6;32.05;6.1;11.54
Feuerbecken aufstellen;7;301;;362,1182,380,1201;Chassinat/7_301.jpg;270;371;606.97;85.9;5.52;11.54
Weihräuchern;7;157;;383,1182,401,1212;Chassinat/7_157.jpg;270;371;610.16;58.97;8.72;11.54
Die Erde küssen;7;192;;404,1182,422,1212;Chassinat/7_192.jpg;270;371;610.16;32.05;8.72;11.54
Heh darbringen;7;300;;362,1204,380,1235;Chassinat/7_300.jpg;270;371;623.24;85.9;9.01;11.54
Den Thronsitz Edfu erbauen;7;299;;362,1238,380,1268;Chassinat/7_299.jpg;270;371;642.71;85.9;8.72;11.54
Den Gott preisen;7;298;;362,1270,380,1302;Chassinat/7_298.jpg;270;371;661.89;85.9;9.3;11.54
Wasserkrug darbringen;7;297;;362,1305,380,1335;Chassinat/7_297.jpg;270;371;681.64;85.9;8.72;11.54
Fest vollziehen;7;296;;362,1338,381,1368;Chassinat/7_296.jpg;270;371;700.82;85.26;8.72;12.18
Sänftenprozession;7;256;;383,1263,401,1335;Chassinat/7_256.jpg;270;371;669.44;58.97;20.92;11.54
Den Gott sehen;7;255;;383,1338,401,1368;Chassinat/7_255.jpg;270;371;700.82;58.97;8.72;11.54
König vorführen;7;192;;404,1263,422,1297;Chassinat/7_192.jpg;270;371;658.4;32.05;9.88;11.54
Den König krönen;7;191;;404,1300,422,1317;Chassinat/7_191.jpg;270;371;674.96;32.05;4.94;11.54
Reinigung des Königs;7;191;;404,1320,422,1342;Chassinat/7_191.jpg;270;371;688.04;32.05;6.39;11.54
Herausgehen aus dem Palast (Iunmutef weihräuchert);7;189;;404,1345,422,1368;Chassinat/7_189.jpg;270;371;702.86;32.05;6.68;11.54
Zwickel;7;331;;46,1373,119,1383;Chassinat/7_331.jpg;90;114;715.35;51.88;2.91;45.63
Zwickel;7;331;;361,1373,436,1383;Chassinat/7_331.jpg;270;371;715.35;50.64;2.91;48.08
